,steps,self_finding_steps,prop_selected_correctly,participant,level
0,13,7.0,0.0,0,0
1,11,3.0,1.0,0,1
2,25,0.0,1.0,0,2
3,45,6.0,1.0,0,3
4,16,6.0,1.0,0,4
5,623,4.666666666666667,0.3333333333333333,0,5
6,72,5.0,1.0,0,6
7,121,6.0,1.0,0,7
8,57,6.0,1.0,0,8
9,69,0.0,1.0,0,9
10,267,7.0,0.0,0,10
11,2432,7.0,0.0,0,11
12,166,0.0,1.0,0,12
13,15,,,0,13
14,547,5.0,1.0,0,14
15,403,7.0,0.0,0,15
16,384,7.0,0.0,0,16
17,17,1.0,1.0,0,17
18,13,4.0,1.0,0,18
19,639,5.0,1.0,0,19
20,11,,,0,20
21,13,4.0,1.0,0,21
22,274,7.0,0.0,0,22
23,11,3.0,1.0,0,23
24,428,2.0,1.0,0,24
25,51,5.0,1.0,0,25
26,51,5.0,1.0,0,26
27,45,7.0,0.0,0,27
28,23,5.0,1.0,0,28
29,37,3.0,1.0,0,29
30,45,7.0,0.0,0,30
31,230,5.0,1.0,0,31
32,25,3.0,1.0,0,32
33,225,6.0,1.0,0,33
34,33,7.0,0.0,0,34
35,585,7.0,0.0,0,35
36,457,7.0,0.0,0,36
37,25,7.0,0.0,0,37
38,158,7.0,0.0,0,38
39,2772,7.0,0.0,0,39
40,1479,2.0,1.0,0,40
41,215,2.0,1.0,0,41
42,191,1.0,1.0,0,42
43,484,5.0,1.0,0,43
44,856,3.0,1.0,0,44
45,344,7.0,0.0,0,45
46,1173,7.0,0.0,0,46
47,850,5.0,1.0,0,47
48,114,7.0,0.0,0,48
49,22,0.0,1.0,0,49
50,66,4.0,1.0,0,50
51,74,7.0,0.0,0,51
52,615,3.0,1.0,0,52
53,55,5.142857142857143,0.8571428571428571,1,0
54,53,3.5714285714285716,1.0,1,1
55,111,4.3,0.9,1,2
56,39,4.5,0.75,1,3
57,53,4.857142857142857,0.8571428571428571,1,4
58,40,4.5,0.8333333333333334,1,5
59,118,5.0,0.7272727272727273,1,6
60,13,5.0,1.0,1,7
61,76,3.0,0.8,1,8
62,103,4.333333333333333,1.0,1,9
63,83,4.142857142857143,0.8571428571428571,1,10
64,17,6.0,0.5,1,11
65,17,0.0,1.0,1,12
66,25,4.0,1.0,1,13
67,134,4.666666666666667,0.5,1,14
68,125,5.8,0.6,1,15
69,54,4.0,0.75,1,16
70,67,4.714285714285714,0.8571428571428571,1,17
71,13,4.0,1.0,1,18
72,54,4.428571428571429,0.8571428571428571,1,19
